track_name,size_bytes,currency,price,rating_count_tot,rating_count_ver,user_rating,user_rating_ver,ver,cont_rating,prime_genre,,,,,,,,,,,,,,,size_bytes,
iFart - The Original Fart Sounds App,57.53,USD,1.99,21825,10,3,4,4.0.8,9+,Entertainment,,,,,,,,,,,,,,,60320768,
PAC-MAN,96.18,USD,0,508808,99,3,4.5,6.3.5,4+,Games,,,,,,,,,,,,,,,100849664,
FOX Sports Mobile,69.38,USD,0,57500,103,3,4,3.5.13,4+,Sports,,,,,,,,,,,,,,,72748032,
First Words Animals,30.67,USD,1.99,2576,4,4,5,7,4+,Games,,,,,,,,,,,,,,,32164864,
WeatherPro,65.88,USD,1.99,1572,34,4,4.5,4.8.2,4+,Weather,,,,,,,,,,,,,,,69079040,
HotSchedules,78.24,USD,2.99,3292,2,3,5,4.56.1,4+,Business,,,,,,,,,,,,,,,82037760,
Star Walk - Find Stars And Planets in Sky Above,143.24,USD,4.99,8932,55,4.5,5,7.2.3,4+,Education,,,,,,,,,,,,,,,150195200,
"The Weather Channel: Forecast, Radar & Alerts",190.48,USD,0,495626,5893,3.5,4.5,8.11,4+,Weather,,,,,,,,,,,,,,,199734272,
Big Day - Event Countdown,12.55,USD,0.99,812,14,3,4,8.2.0,4+,Lifestyle,,,,,,,,,,,,,,,13156352,
12 Steps AA Companion - Alcoholics Anonymous,28.96,USD,2.99,1583,2,3.5,4.5,2.5.9.2,12+,Lifestyle,,,,,,,,,,,,,,,30367744,
OpenTable - Restaurant Reservations,89.09,USD,0,113936,150,4.5,5,10.18.0,4+,Food & Drink,,,,,,,,,,,,,,,93420544,
VLC Remote,30.05,USD,4.99,2027,2,4,5,9.3,4+,Entertainment,,,,,,,,,,,,,,,31505408,
gFlashPro - Flashcards & Tests,24.79,USD,3.99,768,4,4,4,7.1,4+,Education,,,,,,,,,,,,,,,25997312,
Lose It! â€“ Weight Loss Program and Calorie Counter,173.62,USD,0,373835,402,4,4.5,8.0.2,4+,Health & Fitness,,,,,,,,,,,,,,,182054912,
Target,132.33,USD,0,108131,13,3,2,8.21.0,4+,Shopping,,,,,,,,,,,,,,,138754048,
Fish Tycoon,12.94,USD,0.99,18943,1787,3.5,4.5,1.1.0,4+,Games,,,,,,,,,,,,,,,13564835,
"Amazon App: shop, scan, compare, and read reviews",127.5,USD,0,126312,22,3.5,3,9.10.0,4+,Shopping,,,,,,,,,,,,,,,133688320,
Touchgrind,52.65,USD,4.99,35735,378,4,4.5,1.5.1,4+,Games,,,,,,,,,,,,,,,55205888,
ProPresenter Remote,44.75,USD,4.99,410,7,3,2.5,4.8.1,4+,Utilities,,,,,,,,,,,,,,,46922752,
iReal Pro - Music Book & Play Along,60.35,USD,12.99,1390,143,4.5,5,7.0.1,4+,Music,,,,,,,,,,,,,,,63283200,
NRJ Radio,50.95,USD,0,38,2,3.5,5,5.2.6,4+,Music,,,,,,,,,,,,,,,53426176,
Chase Mobileâ„ ,37.68,USD,0,233270,14625,4.5,4.5,2.61,4+,Finance,,,,,,,,,,,,,,,39505920,
å¤§è¾žæž—,200.36,USD,21.99,64,0,4.5,0,4.1.1,4+,Reference,,,,,,,,,,,,,,,210088960,
Allrecipes Dinner Spinner,34.71,USD,0,109349,1540,3.5,5,6.3,12+,Food & Drink,,,,,,,,,,,,,,,36399104,
æ–°æµªæ–°é—»-é˜…è¯»æœ€æ–°æ—¶äº‹çƒ­é—¨å¤´æ¡èµ„è®¯è§†é¢‘,109.81,USD,0,2229,4,3.5,1,6.2.1,17+,News,,,,,,,,,,,,,,,115143680,
MotionX GPS,53.87,USD,1.99,14970,24,3.5,4.5,24.2,4+,Navigation,,,,,,,,,,,,,,,56481792,
AccuWeather - Weather for Life,173.51,USD,0,144214,2162,3.5,4,10.4.1,4+,Weather,,,,,,,,,,,,,,,181941248,
"Mint: Personal Finance, Budget, Bills & Money",155.35,USD,0,232940,683,4,4.5,5.9.0,4+,Finance,,,,,,,,,,,,,,,162891776,
ABC News - US & World News + Live Video,93.56,USD,0,48407,20,3,3.5,5.16,12+,News,,,,,,,,,,,,,,,98108416,
Rowmote: Remote Control for Mac,51.58,USD,0.99,5531,37,3.5,2.5,4.3,4+,Utilities,,,,,,,,,,,,,,,54088704,
Peekaboo Barn,47.83,USD,1.99,3393,77,4,4,5.1.0,4+,Education,,,,,,,,,,,,,,,50155520,
Speedtest by Ookla,22.83,USD,0,65016,274,3.5,5,3.8.2,4+,Utilities,,,,,,,,,,,,,,,23936000,
Pocket God,138.56,USD,0.99,187529,1071,4,4,1.48.2,9+,Entertainment,,,,,,,,,,,,,,,145293312,
Nike+ Training Club - Workouts & Fitness Plans,133.87,USD,0,33969,466,3.5,5,5.4.1,4+,Health & Fitness,,,,,,,,,,,,,,,140367872,
Citi MobileÂ®,268.22,USD,0,48822,193,3.5,4,8.5.0,4+,Finance,,,,,,,,,,,,,,,281244672,
Phase 10 Pro - Play Your Friends!,63.61,USD,1.99,59155,101,4.5,2.5,3.2.0,4+,Games,,,,,,,,,,,,,,,66695168,
"Kindle â€“ Read eBooks, Magazines & Textbooks",161.88,USD,0,252076,80,3.5,4.5,5.11,4+,Book,,,,,,,,,,,,,,,169747456,
MASH,39.76,USD,1.99,4913,1,4,4,3.3.2,9+,Games,,,,,,,,,,,,,,,41691136,
åŒèŠ±é¡º-ç‚’è‚¡ã€è‚¡ç¥¨,117.19,USD,0,1744,0,3.5,0,10.10.46,4+,Finance,,,,,,,,,,,,,,,122886144,
Wedding Dash Deluxe,53.22,USD,0.99,16567,1155,4.5,4.5,2.29.13,4+,Games,,,,,,,,,,,,,,,55803904,
Beer Pong Game,180.2,USD,0,187315,9,2,4,17.05.15,17+,Games,,,,,,,,,,,,,,,188956672,
Tempo - Metronome with Setlists,21.16,USD,2.99,4781,1,4.5,5,3.9.2,4+,Music,,,,,,,,,,,,,,,22185984,
Skat,63.1,USD,3.99,94,4,4.5,4.5,11.0.10,4+,Games,,,,,,,,,,,,,,,66160640,
Color Splash,26.83,USD,0.99,29554,55,4,5,3.6.1,4+,Photo & Video,,,,,,,,,,,,,,,28135424,
Zombieville USA,26.67,USD,0.99,32988,2489,4,4,1.7,12+,Games,,,,,,,,,,,,,,,27962441,
Skype for iPhone,127.07,USD,0,373519,127,3.5,4,6.35.1,4+,Social Networking,,,,,,,,,,,,,,,133238784,
Tumblr,144.55,USD,0,334293,919,4,4,8.6,17+,Social Networking,,,,,,,,,,,,,,,151573504,
iSwap Faces,25.82,USD,1.99,2302,3,3.5,5,5.1,4+,Photo & Video,,,,,,,,,,,,,,,27069440,
Matchâ„¢ - #1 Dating App.,96.57,USD,0,60659,57,3,2.5,17.05.01,17+,Social Networking,,,,,,,,,,,,,,,101259264,
Tozzle - Toddler's favorite puzzle,160.4,USD,2.99,2562,10,4,4.5,5.1,4+,Games,,,,,,,,,,,,,,,168192000,
HomeBudget with Sync,16.68,USD,4.99,3042,6,3.5,4,3.3.0,4+,Finance,,,,,,,,,,,,,,,17485824,
Wind Meter,4.99,USD,0.99,338,12,2.5,2,5,4+,Weather,,,,,,,,,,,,,,,5234688,
Map My Run+ - GPS Running & Workout Tracker,226.89,USD,2.99,16434,3,4.5,4.5,17.5.5,4+,Health & Fitness,,,,,,,,,,,,,,,237913088,
Map My Ride+ - GPS Cycling & Route Tracker,222.7,USD,2.99,10046,7,4.5,5,17.5.5,4+,Health & Fitness,,,,,,,,,,,,,,,233513984,
"HuffPost - News, Politics & Entertainment",105.31,USD,0,29107,85,3,4,11.2,12+,News,,,,,,,,,,,,,,,110420992,
Phrase Party!,45.56,USD,1.99,878,48,4,4.5,8.7.5,17+,Games,,,,,,,,,,,,,,,47774720,
Minesweeper Classic,21.23,USD,0.99,1140,20,3.5,3.5,3.6,4+,Games,,,,,,,,,,,,,,,22259712,
Sally's Spa,411.77,USD,2.99,35074,403,4.5,4,3.3.0,4+,Games,,,,,,,,,,,,,,,431771648,
"CBS Sports App - Sports Scores, News, Stats, Watch",114.78,USD,0,59639,11,3,2.5,10.2.2,17+,Sports,,,,,,,,,,,,,,,120357888,
Brain Wave â„¢ - 32 Advanced Binaural Brainwave Entrainment Programs with iTunes Music and Relaxing Ambience,86.62,USD,4.99,2913,357,4,5,7.4,4+,Health & Fitness,,,,,,,,,,,,,,,90828800,
iSwap Faces LITE,29.37,USD,0,39722,0,3,0,5.1,4+,Photo & Video,,,,,,,,,,,,,,,30796800,
DIRECTV,144.38,USD,0,81006,25,3.5,3,4.9.705,4+,Entertainment,,,,,,,,,,,,,,,151397376,
NYTimes Crossword - Daily Word Puzzle Game,44.71,USD,0,53465,204,3.5,4,2.8.1,4+,Games,,,,,,,,,,,,,,,46880768,
Doodle Jump,46.48,USD,0.99,395261,88,4.5,4.5,3.17.6,4+,Games,,,,,,,,,,,,,,,48741376,
LEDit â€“ The LED Banner App,16.35,USD,1.99,2021,147,4.5,4.5,3.5.1,4+,Utilities,,,,,,,,,,,,,,,17145856,
niconico,24.61,USD,0,182,0,3,0,6.52,17+,Entertainment,,,,,,,,,,,,,,,25808896,
Fandango Movies - Times + Tickets,78.13,USD,0,291787,589,4,5,8.6,4+,Entertainment,,,,,,,,,,,,,,,81924096,
iCab Mobile (Web Browser),18.55,USD,1.99,2441,4,4,5,9.9,17+,Utilities,,,,,,,,,,,,,,,19451904,
iRagdoll - Ragdoll Physics,113.19,USD,0.99,1372,25,4,4,1.8.3,12+,Games,,,,,,,,,,,,,,,118683648,
Proloquo2Go - Symbol-based AAC,690.24,USD,249.99,773,10,4,3.5,5.0.1,4+,Education,,,,,,,,,,,,,,,723764224,
Dictionary.com Dictionary & Thesaurus,106.12,USD,0,200047,177,4,4,7.1.3,4+,Reference,,,,,,,,,,,,,,,111275008,
20 Minutes.fr - l'actualitÃ© en continu,104.54,USD,0,112,0,3.5,0,5.0.11,12+,News,,,,,,,,,,,,,,,109616128,
The Masters Tournament,115.13,USD,0,148160,63,4.5,3.5,9.0.701,4+,Sports,,,,,,,,,,,,,,,120725504,
myAT&T,65.32,USD,0,108507,628,3,3,5.3,4+,Utilities,,,,,,,,,,,,,,,68491264,
SFR TV,116.5,USD,0,46,0,3,0,7.3.0,4+,Entertainment,,,,,,,,,,,,,,,122153984,
"Shutterfly: Prints, Photo Books, Cards Made Easy",116.65,USD,0,51427,874,4,5,7.7.0,4+,Photo & Video,,,,,,,,,,,,,,,122315776,
StickWars,16.22,USD,0.99,53821,165,3.5,4,1.8.9,12+,Games,,,,,,,,,,,,,,,17010688,
Indeed Job Search,3.52,USD,0,38681,563,4,4.5,4.3,4+,Business,,,,,,,,,,,,,,,3691520,
World Cup Table Tennisâ„¢,29.93,USD,0.99,17776,6,4,5,4.6.1,4+,Games,,,,,,,,,,,,,,,31387648,
WhatsApp Messenger,128.79,USD,0,287589,73088,4.5,4.5,2.17.22,4+,Social Networking,,,,,,,,,,,,,,,135044096,
"iStudiez Pro â€“ Homework, Schedule, Grades",53.23,USD,2.99,7308,15,4,4.5,1.9.1,4+,Productivity,,,,,,,,,,,,,,,55815168,
Zillow Real Estate - Homes for Sale & for Rent,126.49,USD,0,342969,88478,4.5,4.5,10.4.5,4+,Lifestyle,,,,,,,,,,,,,,,132632576,
2XL Supercross,258.19,USD,4.99,6093,3,4,5,1.2.1,4+,Games,,,,,,,,,,,,,,,270729216,
Pocket Tanks Deluxe,37.98,USD,4.99,5452,39,4.5,4.5,2.3.1,9+,Games,,,,,,,,,,,,,,,39827456,
Wells Fargo Mobile,54.67,USD,0,43064,216,3,2.5,3.55,4+,Finance,,,,,,,,,,,,,,,57328640,
radio.de - Der Radioplayer,38.83,USD,0,64,9,4.5,5,4.0.5,4+,Music,,,,,,,,,,,,,,,40717312,
AutoScout24 - mobile used & new car market,134.6,USD,0,220,2,4.5,5,9.1.10,4+,Productivity,,,,,,,,,,,,,,,141136896,
Sky Burger - Build & Match Food Free,139.45,USD,0,114096,2157,4.5,4,3.0.3,4+,Games,,,,,,,,,,,,,,,146228224,
MindNode â€“ Delightful Mind Mapping,49.87,USD,9.99,1296,4,4,5,4.5.3,4+,Productivity,,,,,,,,,,,,,,,52294656,
Packing Pro,15.58,USD,2.99,1293,31,4,5,12.2,4+,Travel,,,,,,,,,,,,,,,16332800,
USAA Mobile,156.77,USD,0,19946,13,4,2.5,7.32.3,4+,Finance,,,,,,,,,,,,,,,164382720,
The Moron Test,43.59,USD,0,88613,392,4,4.5,6.3.1,4+,Entertainment,,,,,,,,,,,,,,,45712384,
Sunday Lawn,15.34,USD,0.99,107727,55,3.5,4.5,1.41.1,4+,Games,,,,,,,,,,,,,,,16086016,
Peggle Classic,213.44,USD,0.99,21416,974,4.5,4.5,1.7.2,4+,Games,,,,,,,,,,,,,,,223805440,
SmartGo Player,21.13,USD,2.99,533,27,4,4,2.5.1,4+,Games,,,,,,,,,,,,,,,22159360,
I Am T-Pain 2.0,19.59,USD,2.99,32650,754,3.5,3.5,2.0.4,12+,Music,,,,,,,,,,,,,,,20542280,
TextNow - Unlimited Text + Calls,124.59,USD,0,164963,69,3.5,4,8.5.1,4+,Social Networking,,,,,,,,,,,,,,,130637824,
Boating Weather,8.49,USD,1.99,141,15,3,3,4.5,4+,Weather,,,,,,,,,,,,,,,8900608,
Best Buy,172.14,USD,0,80424,46,4,4.5,10.11.0,4+,Shopping,,,,,,,,,,,,,,,180500480,
I Dig It,18.93,USD,0.99,17190,180,4,4.5,1.12,4+,Games,,,,,,,,,,,,,,,19853312,
Unblock Me,40.94,USD,0.99,7973,127,4,5,1.5.95,4+,Games,,,,,,,,,,,,,,,42926080,
Sonic The Hedgehog,34.99,USD,2.99,19621,1191,4,4.5,2.1.2,4+,Games,,,,,,,,,,,,,,,36692992,
10 Pin Shuffle Pro Bowling,34.95,USD,3.99,7315,138,4,4.5,2.01,4+,Games,,,,,,,,,,,,,,,36647936,
Sky News,87.45,USD,0,118,0,3,0,4.6,12+,News,,,,,,,,,,,,,,,91697152,
"ESPN: Get scores, news, alerts & watch live sports",49.15,USD,0,290996,150,3.5,3.5,5.7.1,4+,Sports,,,,,,,,,,,,,,,51538944,
LiveATC Air Radio,7.92,USD,3.99,2785,90,4,4,1.9.0,4+,Travel,,,,,,,,,,,,,,,8302592,
The Sims 3,410.2,USD,6.99,54408,65,3.5,2,1.4.10,12+,Games,,,,,,,,,,,,,,,430128128,
"Chess Pro with Coach - Learn,Play & Online Friends",66.72,USD,9.99,8138,107,4,4.5,2.89,4+,Games,,,,,,,,,,,,,,,69960704,
Guess My Age î€  Math Magic,0.73,USD,0,123190,68841,3,3,1.1,4+,Education,,,,,,,,,,,,,,,767126,
Crush the Castle,12.39,USD,0.99,23810,582,3.5,4,1.5,12+,Games,,,,,,,,,,,,,,,12996628,
2016 U.S. Open Golf Championship,133.08,USD,0,54192,32,4,2,8.0.263,4+,Sports,,,,,,,,,,,,,,,139545600,
"The Championships, Wimbledon 2016 - Tennis Grand Slam",124.35,USD,0,20953,481,4,4,8.1,4+,Sports,,,,,,,,,,,,,,,130394112,
TuneIn Radio Pro - MLB Audiobooks Podcasts Music,97.2,USD,9.99,71609,99,4.5,4,11.9,12+,Music,,,,,,,,,,,,,,,101925888,
NBC News,50.5,USD,0,32881,7,3.5,2,5.11.0,12+,News,,,,,,,,,,,,,,,52951040,
"Grindr - Gay and same sex guys chat, meet and date",76.68,USD,0,23201,14,2.5,2,3.9.1,17+,Social Networking,,,,,,,,,,,,,,,80409600,
Whole Foods Market,130.95,USD,0,17906,4,3,3,8.3.17,4+,Shopping,,,,,,,,,,,,,,,137312256,
NAVIGON Europe,137.72,USD,74.99,927,3,3.5,2.5,2.17,4+,Navigation,,,,,,,,,,,,,,,144412672,
Virtual Families,26.46,USD,1.99,18920,3014,3.5,4.5,1.1.2,9+,Games,,,,,,,,,,,,,,,27746273,
Sparkasse+,114.11,USD,0.99,30,0,3,0,3.1.3,4+,Finance,,,,,,,,,,,,,,,119648256,
Sparkasse - Your mobile branch,114.04,USD,0,77,1,3,4,3.1.3,4+,Finance,,,,,,,,,,,,,,,119574528,
Sleep Cycle alarm clock,75.64,USD,0,104539,11,4.5,4.5,5.4.1,4+,Health & Fitness,,,,,,,,,,,,,,,79315968,
FACEinHOLEÂ®,12.22,USD,0.99,4016,1,4,5,5.7,12+,Photo & Video,,,,,,,,,,,,,,,12818432,
Harvest - Select the Best Produce,17.32,USD,1.99,299,28,4,4.5,3.1,4+,Food & Drink,,,,,,,,,,,,,,,18165760,
WORMS,242.08,USD,1.99,5758,9,4,3,2.6,12+,Games,,,,,,,,,,,,,,,253834240,
Pixel Starshipsâ„¢ : 8Bit MMORPG,65.88,USD,0,5565,140,4.5,4.5,0.39,9+,Games,,,,,,,,,,,,,,,69083136,
Traffic Rush,8.18,USD,0.99,213092,51,3.5,4.5,1.45.1,9+,Games,,,,,,,,,,,,,,,8573952,
MyRadar NOAA Weather Radar Forecast,121.39,USD,0,150158,3392,4.5,5,5.1.4,4+,Weather,,,,,,,,,,,,,,,127284224,
Resident Evil 4: PLATINUM,77.6,USD,4.99,6046,446,4,4,1.04.10,12+,Games,,,,,,,,,,,,,,,81374398,
"Waze - GPS Navigation, Maps & Real-time Traffic",89.78,USD,0,345046,3040,4.5,4.5,4.24,4+,Navigation,,,,,,,,,,,,,,,94139392,
Cartoon Wars,12.6,USD,0.99,35930,262,3.5,4,114,12+,Games,,,,,,,,,,,,,,,13216994,
Moto X Mayhem,20.04,USD,0.99,22557,526,4,4,1.8.7,4+,Games,,,,,,,,,,,,,,,21010210,
Fantasy Football Manager - FFM for FPL,34.33,USD,0.99,292,1,3,5,9.3,17+,Sports,,,,,,,,,,,,,,,35998720,
Spotify Music,126.37,USD,0,878563,8253,4.5,4.5,8.4.3,12+,Music,,,,,,,,,,,,,,,132510720,
McDo France,35.29,USD,0,22,0,3.5,0,4.0.16,4+,Food & Drink,,,,,,,,,,,,,,,37001216,
PGA Championship 2016 â€“ Baltusrol Golf Club,61.18,USD,0,10472,58,3.5,2,8.1,17+,Sports,,,,,,,,,,,,,,,64147456,
BFMTV : l'info en continu,96.11,USD,0,115,70,4,5,5.0.3,17+,News,,,,,,,,,,,,,,,100779008,
"MyRadar Pro NOAA Weather Radar, Forecasts & Storms",117.99,USD,1.99,13915,205,4.5,5,5.1.4,4+,Weather,,,,,,,,,,,,,,,123718656,
Spider:  The Secret of Bryce Manor,120.46,USD,1.99,6780,68,4,4.5,1.5,9+,Games,,,,,,,,,,,,,,,126312448,
My Measures PRO,76.18,USD,7.99,1701,35,4,4.5,6.06,4+,Productivity,,,,,,,,,,,,,,,79882240,
Food Additives Checker (E Numbers),6.12,USD,1.99,6,0,3.5,0,4.1.2,4+,Health & Fitness,,,,,,,,,,,,,,,6418432,
SFR Mon Compte,70.66,USD,0,19,0,3,0,6.4.0,4+,Utilities,,,,,,,,,,,,,,,74093568,
Baby Connect (Activity Log),12.34,USD,4.99,3483,79,4.5,5,5.4.3,4+,Medical,,,,,,,,,,,,,,,12937216,
Epson iPrint,50.92,USD,0,2838,26,3,2.5,6.3.1,4+,Photo & Video,,,,,,,,,,,,,,,53388288,
Mad Libs,113.01,USD,0,117889,725,3,4.5,3.3.3,4+,Entertainment,,,,,,,,,,,,,,,118498304,
BATTLE BEARS: Zombies!,98.42,USD,0.99,50710,309,3.5,4,1.6.7,9+,Games,,,,,,,,,,,,,,,103197675,
Hurricane Tracker,23.44,USD,2.99,3960,0,4.5,0,5,4+,Weather,,,,,,,,,,,,,,,24574976,
NFL Sunday Ticket,91.64,USD,0,24258,305,3,2.5,2.6.042,4+,Entertainment,,,,,,,,,,,,,,,96093184,
2016 US Open Tennis Championships,74.1,USD,0,37522,39,4,3,8.0.353,4+,Sports,,,,,,,,,,,,,,,77700096,
Dropbox,172.43,USD,0,49578,16,3.5,3,50.2,4+,Productivity,,,,,,,,,,,,,,,180804608,
Wa Kingyo - Goldfish Pond,53.79,USD,0.99,626,44,4,5,2.0.3,4+,Entertainment,,,,,,,,,,,,,,,56397824,
Monkey Preschool Lunchbox,218.65,USD,1.99,9286,49,4,3.5,4.02,4+,Games,,,,,,,,,,,,,,,229272576,
Yahoo Fantasy Sports,124.93,USD,0,190670,19,3.5,2.5,9.1.0,17+,Sports,,,,,,,,,,,,,,,131000320,
Gaia GPS Classic,50.64,USD,19.99,2429,8,4.5,3.5,10.9.13,4+,Navigation,,,,,,,,,,,,,,,53097472,
iLoan Calc (Loan calculator),3.22,USD,3.99,0,0,0,0,5.1.0,4+,Finance,,,,,,,,,,,,,,,3375104,
GeocachingÂ®,103.16,USD,0,12811,134,3.5,1.5,5.3,4+,Navigation,,,,,,,,,,,,,,,108166144,
Camera+,85.06,USD,1.99,32338,261,4,4.5,9.1,4+,Photo & Video,,,,,,,,,,,,,,,89187328,
Alter Ego,13.02,USD,4.99,262,43,4,4,1.3.0,12+,Games,,,,,,,,,,,,,,,13647872,
Parking Mania,117.82,USD,0.99,9657,47,4.5,4.5,2.5.0,4+,Games,,,,,,,,,,,,,,,123544576,
Sudokuâº,1.53,USD,2.99,18332,1007,4.5,5,3.4,4+,Games,,,,,,,,,,,,,,,1608704,
Period Tracker Lite,47.85,USD,0,53620,2872,4,5,9.5.1,12+,Health & Fitness,,,,,,,,,,,,,,,50169856,
Camera Plus: For Macro Photos & Remote Photography,96.49,USD,0.99,38533,36,2.5,3.5,4.5.4,4+,Photo & Video,,,,,,,,,,,,,,,101181440,
The perfect Egg timer,14.62,USD,0.99,40,0,3.5,0,1.8.9,4+,Food & Drink,,,,,,,,,,,,,,,15329280,
